#,Title,Company,URL,Location
1,L&D Manager,Legend Biotech,https://www.indeed.com/viewjob?jk=3c97e85a06cf0ea6,"Somerset, NJ, US"
2,Site Civil Engineer,VHB,https://www.indeed.com/viewjob?jk=59fb8e2f5f495ae3,"Manasquan, NJ, US"
3,Clinical Trial Manager,BioNTech,https://www.indeed.com/viewjob?jk=239392ec5cf265d8,"Berkeley Heights, NJ, US"
4,"Principal Scientist, Clinical Sciences",COMPASS Pathways,https://www.indeed.com/viewjob?jk=36c5be2a89855738,"New York, NY, US"
5,"Director, Global Product Strategy - Lung Cancer Therapies",BioNTech,https://www.indeed.com/viewjob?jk=95ffb5394bd7e4af,"Berkeley Heights, NJ, US"
6,"Executive Director, Head Trial Analytics, Insights and Planning",Bristol Myers Squibb,https://www.indeed.com/viewjob?jk=4a6aaf25dc3591ec,"Princeton, NJ, US"
7,"Director, Global Product Strategy - Lung Cancer Therapies",BioNTech,https://www.indeed.com/viewjob?jk=4efde9c9a79f3747,"Berkeley Heights, NJ, US"
8,"Head, Translational Research and Biomarkers",Novartis,https://www.indeed.com/viewjob?jk=6d89457dea1aa5b9,"Cambridge, MA, US"
9,Director of Creative Services & Marketing Communications (Evident MIS),Evident Scientific,https://www.indeed.com/viewjob?jk=4bd935f64b19c817,"Needham, MA, US"
10,Senior Editor,cradle,https://www.indeed.com/viewjob?jk=97495e04da284237,"Boston, MA, US"
11,"Principal Scientist in Cell, Molecular, and Immunology",GSK,https://www.indeed.com/viewjob?jk=a7343cc70c3a492d,"Cambridge, MA, US"
12,"Director, AI/ML Strategy and Technology Enablement",Takeda Pharmaceuticals,https://www.indeed.com/viewjob?jk=da4e1e5a21d7416f,"Boston, MA, US"
13,"Principal Scientist in Cell, Molecular, and Immunology",GSK,https://www.indeed.com/viewjob?jk=909f61b717ab973f,"Cambridge, MA, US"
14,"Associate Director, Clinical Trials",BioNTech,https://www.indeed.com/viewjob?jk=cd2b82dd6f0d4b61,"Cambridge, MA, US"
15,Field Application Scientist Chromatics,GeneData,https://www.indeed.com/viewjob?jk=43c9bb508990dba3,"Lexington, MA, US"
16,"Senior/Principal Scientist, Medicinal Chemistry",nan,https://www.indeed.com/viewjob?jk=f3b246d5531ff557,"Watertown, MA, US"
17,Raven Senior Associate,nan,https://www.indeed.com/viewjob?jk=4c78535472527ebc,"Boston, MA, US"
18,Director CTSM Supply Network Alliance Management,BioNTech,https://www.indeed.com/viewjob?jk=88912ec3d8513c63,"Cambridge, MA, US"
19,"Associate Principal Scientist, In Vitro Quantitative Biosciences",Merck,https://www.indeed.com/viewjob?jk=8611838ffbcffe20,"Cambridge, MA, US"
20,Staff / Principal Mechanical Engineer,Lila Sciences,https://www.indeed.com/viewjob?jk=14f25a4c2a9399b1,"Cambridge, MA, US"
21,Postdoctoral Research Associate-Translational/Muscle Biology (Murine Models),Northeastern University,https://www.indeed.com/viewjob?jk=8ce7bfcc54853fc2,"Boston, MA, US"
22,"Director, Global Clinical Operations",BioNTech,https://www.indeed.com/viewjob?jk=79d1f7afd4e4d198,"Cambridge, MA, US"
23,Senior ML Scientist - Molecular AI,"Novo Nordisk, Inc.",https://www.indeed.com/viewjob?jk=feff188261927c03,"Lexington, MA, US"
24,Business Development Manager - Boston,Proteintech Group,https://www.indeed.com/viewjob?jk=a38faa17aafddccf,"Boston, MA, US"
25,Pioneering Medicines: Principal Scientist Bioinformatics,"Flagship Pioneering, Inc.",https://www.indeed.com/viewjob?jk=f15e591c56c8520f,"Cambridge, MA, US"
26,Regional Sales Manager – HPLC Chromatography Sales,AXCEND,https://www.indeed.com/viewjob?jk=d212bf9040c986c5,"Boston, MA, US"
27,Molecular Biology Scientist/Senior Associate Scientist,Legend Biotech,https://www.indeed.com/viewjob?jk=978ed50cd20da9cc,"Philadelphia, PA, US"
28,Process Operator I,Catalent Pharma Solutions,https://www.indeed.com/viewjob?jk=f4421dbcef5201a1,"Malvern, PA, US"
29,Postdoctoral Associate,Rutgers University,https://www.indeed.com/viewjob?jk=d9b34f7e1a8218bd,"Piscataway, NJ, US"
30,Research Technician I,The Research Foundation for The State University of New York at Stony Brook,https://www.indeed.com/viewjob?jk=b7d9e76c72906849,"Stony Brook, NY, US"
31,Research Technician B,Albert Einstein College of Medicine,https://www.indeed.com/viewjob?jk=6043623b29468790,"Bronx, NY, US"
32,Postdoctoral Fellow-MSH-30035-391,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=aeeb395bb2e968d8,"New York, NY, US"
33,"Senior Scientist, Stem Cell Biology - Hematology & Medical Oncology",Mount Sinai Health System,https://www.indeed.com/viewjob?jk=d2aca9e3aba92c24,"New York, NY, US"
34,"Senior Scientist, Megakaryocyte Stem Cell Biology - Hematology & Medical Oncology",Mount Sinai Health System,https://www.indeed.com/viewjob?jk=ebc03c18c7296929,"New York, NY, US"
35,"Associate Director, Precision Medicine",Regeneron,https://www.indeed.com/viewjob?jk=28d4c4785442b32a,"Armonk, NY, US"
36,"Associate Scientist, In Vivo & In Vitro",Regeneron,https://www.indeed.com/viewjob?jk=81f1ddc0bcea9eda,"Tarrytown, NY, US"
37,Technician A,Columbia University,https://www.indeed.com/viewjob?jk=be5fd9a9b7844fdb,"New York, NY, US"
38,Postdoctoral Associate,The Research Foundation for The State University of New York at Stony Brook,https://www.indeed.com/viewjob?jk=86c1fb77886e6f19,"Stony Brook, NY, US"
39,"Research Technician, Lowe Lab",Memorial Sloan Kettering Cancer Center,https://www.indeed.com/viewjob?jk=aeaa460e33fa1e63,"New York, NY, US"
40,"Associate Director, Precision Medicine",Regeneron,https://www.indeed.com/viewjob?jk=ea35df626f3895f8,"Armonk, NY, US"
41,"Associate Scientist, In Vivo & In Vitro",Regeneron,https://www.indeed.com/viewjob?jk=f83c4af1c81d8b65,"Tarrytown, NY, US"
42,Research Assistant | Laboratory of Chemistry and Cell Biology,Rockefeller University,https://www.indeed.com/viewjob?jk=2ed8247b3383f212,"New York, NY, US"
43,Part-Time Assistant Research Scientist (Desplan Lab),New York University,https://www.indeed.com/viewjob?jk=cfa102093a70a22f,"New York, NY, US"
44,Postdoctoral Associate,Rutgers University,https://www.indeed.com/viewjob?jk=bc926694754104ef,"Piscataway, NJ, US"
45,Laboratory/Technical Assistant,Rutgers University,https://www.indeed.com/viewjob?jk=81350bccf0366bed,"New Brunswick, NJ, US"
46,Postdoctoral Associate,Hospital for Special Surgery,https://www.indeed.com/viewjob?jk=942dc3d66549026d,"New York, NY, US"
47,"Associate Scientist, Keloid & Fibrosis",Regeneron,https://www.indeed.com/viewjob?jk=d697445d7ec36ad4,"Tarrytown, NY, US"
48,Postdoctoral Associate (Rocha Lab),New York University,https://www.indeed.com/viewjob?jk=93827ebfe9c1593c,"New York, NY, US"
49,"Associate Scientist, Keloid & Fibrosis",Regeneron,https://www.indeed.com/viewjob?jk=4ac397875f9742f7,"Tarrytown, NY, US"
50,Research Assistant | Laboratory of Mucosal Immunology,Rockefeller University,https://www.indeed.com/viewjob?jk=b53321847daffbc6,"New York, NY, US"
51,Sample Preparation Scientist,Eurofins,https://www.indeed.com/viewjob?jk=f755b3a102c53031,"South Brunswick Township, NJ, US"
52,Technician B - Celiac Disease Center,Columbia University,https://www.indeed.com/viewjob?jk=bfb7262c5167caae,"New York, NY, US"
53,Technician B - Hematology & Oncology,Columbia University,https://www.indeed.com/viewjob?jk=7ee84690daee67e8,"New York, NY, US"
54,"Research Assistant, Sanjana Lab (STING-req)",New York Genome Center,https://www.indeed.com/viewjob?jk=49cee59122c576a8,"New York, NY, US"
55,"Research Assistant, Sanjana Lab (in vivo)",New York Genome Center,https://www.indeed.com/viewjob?jk=a58b0547a62dd4db,"New York, NY, US"
56,Research Assistant | Laboratory of RNA Structural Biology and Biophysics,Rockefeller University,https://www.indeed.com/viewjob?jk=21434b362c5a667a,"New York, NY, US"
57,Postdoctoral Fellow-MSH-32076-162,Mount Sinai Health System,https://www.indeed.com/viewjob?jk=4dea13a8a9d8443a,"New York, NY, US"
58,Postdoctoral Associate (Multiple Vacancies),Rutgers University,https://www.indeed.com/viewjob?jk=4949d8960c9df75d,"New Brunswick, NJ, US"
59,2026 Biosciences Internship,Unilever,https://www.indeed.com/viewjob?jk=34935057a5789845,"Englewood Cliffs, NJ, US"
60,Fall 2026 Co-Op - Immunology Translational Early Development,Bristol Myers Squibb,https://www.indeed.com/viewjob?jk=c89d7f2583517a1e,"Princeton, NJ, US"
61,Laboratory/Technical Assistant - Seasonal,Rutgers University,https://www.indeed.com/viewjob?jk=4594700ccd9ffc45,"Piscataway, NJ, US"
62,"Associate Scientist, Assay Development",Pfizer,https://www.indeed.com/viewjob?jk=61d96dc90d513893,"Cambridge, MA, US"
63,Principal Scientist,Harvard University,https://www.indeed.com/viewjob?jk=ca27ea1873445f29,"Boston, MA, US"
64,"Sr Research Associate, Molecular Biology",TWIST BIOSCIENCE,https://www.indeed.com/viewjob?jk=56bfbba46c1f88fc,"Quincy, MA, US"
65,"Research Scientist, AI/ML Foundational Models",Takeda Pharmaceuticals,https://www.indeed.com/viewjob?jk=5ec9542952f08ba2,"Boston, MA, US"
66,Technical Scientist,Cytiva,https://www.indeed.com/viewjob?jk=189ff8770aae2bc1,"Marlborough, MA, US"
67,Research Technician,Brandeis University,https://www.indeed.com/viewjob?jk=bad75ba54b4a3392,"Waltham, MA, US"
68,2026 Future Talent Program - Research – Chemical Biology- Co-Op,Merck,https://www.indeed.com/viewjob?jk=840ac344a4905795,"Cambridge, MA, US"
69,"2026 Future Talent Program – Discovery Immunology – Co-op (Cambridge, MA)",Merck,https://www.indeed.com/viewjob?jk=015620fc83536dbf,"Cambridge, MA, US"
70,Technical Associate I,Massachusetts Institute of Technology,https://www.indeed.com/viewjob?jk=623a99a150a2ef1a,"Cambridge, MA, US"
71,Research Fellow: Bioassay Development,Biogen,https://www.indeed.com/viewjob?jk=154b2b7b847985f5,"Cambridge, MA, US"
72,"Principal Scientist, Analytical Development",nan,https://www.indeed.com/viewjob?jk=57060a9b11328a03,"Cambridge, MA, US"
73,"Postdoctoral researcher Omics, R&D Data Science & Digital Health",Johnson & Johnson,https://www.indeed.com/viewjob?jk=6dbd6faec5d23085,"Cambridge, MA, US"
74,Research Technician,Mass General Brigham,https://www.indeed.com/viewjob?jk=9218f33204028224,"Charlestown, MA, US"
75,Postdoctoral Fellow,Mass General Brigham,https://www.indeed.com/viewjob?jk=5b1c533c9ed9e61c,"Boston, MA, US"
76,"Research Associate II/Senior Research Associate, Discovery",CAMP4 Therapeutics,https://www.indeed.com/viewjob?jk=2f65965b15ea5a0c,"Cambridge, MA, US"
77,"Associate Scientist II, Precision Medicine Immunology",AbbVie,https://www.indeed.com/viewjob?jk=336f0f2f74ddc686,"Waltham, MA, US"
78,Research Fellow -- AHA SFRN Cardiovascular Research Fellow (Basic Science Project),Mass General Brigham,https://www.indeed.com/viewjob?jk=42cad7345b7d3ba9,"Charlestown, MA, US"
79,Scientist I - ADA/PK,BioAgilytix Labs,https://www.indeed.com/viewjob?jk=7e98eff1289d3421,"Boston, MA, US"
80,Research Assistant I,Harvard University,https://www.indeed.com/viewjob?jk=9aea3c7ad13789c8,"Boston, MA, US"
81,"Senior Research Associate, Antibody Engineering",Institute for Protein Innovation,https://www.indeed.com/viewjob?jk=16be944347f2810e,"Boston, MA, US"
82,"Vertex Summer Intern 2026, Preclinical Safety Assessment",Vertex Pharmaceuticals,https://www.indeed.com/viewjob?jk=8c129a631bd13064,"Boston, MA, US"
83,"Intern, Student",Quest Diagnostics,https://www.indeed.com/viewjob?jk=cf072e6fb78e781f,"Marlborough, MA, US"
84,"Associate Director, Translational Research Hematology R&D",AstraZeneca,https://www.indeed.com/viewjob?jk=c7487b476f74d599,"Waltham, MA, US"
