#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,"Associate Principal Scientist, Engineering- Biologics, Sterile Drug Product Commercialization",Merck,https://www.indeed.com/viewjob?jk=1d9c8764f48590de,"West Point, PA, US",PA,"$142,400",2026-01-28,2026-02-05
2,"Experienced Scientist, Sample Logistics & Inventory Management",Johnson & Johnson,https://www.indeed.com/viewjob?jk=002c7410cd3b1154,"Spring House, PA, US",PA,N/A,2026-01-28,N/A
3,Cell Therapy Manufacturing Specialist,Eurofins,https://www.indeed.com/viewjob?jk=ce3f7272946ec47e,"Exton, PA, US",PA,N/A,2026-01-28,N/A
4,Downstream Development Engineer – Pilot Operations,Eurofins,https://www.indeed.com/viewjob?jk=371a5772ec55cd80,"Lexington, MA, US",MA,$30,2026-01-28,N/A
5,Pilot Plant Process Technician (No Degree Needed),Eurofins,https://www.indeed.com/viewjob?jk=8d92e9f5032b8440,"Andover, MA, US",MA,$24,2026-01-28,N/A
6,Technical Sales Support (Microbiology),Element Materials Technology,https://www.indeed.com/viewjob?jk=f01271174bce1611,"Acton, MA, US",MA,N/A,2026-01-28,N/A
7,Pilot Plant Downstream Engineer,Eurofins,https://www.indeed.com/viewjob?jk=3bf426bca45a1226,"Lexington, MA, US",MA,$30,2026-01-28,N/A
8,Quality Excellence Manager,Cytiva,https://www.indeed.com/viewjob?jk=84f3ea324b96b02f,"Hauppauge, NY, US",NY,"$120,000",2026-01-28,N/A
9,HPLC Analyst,Eurofins,https://www.indeed.com/viewjob?jk=63e2625237e0c46f,"Cambridge, MA, US",MA,$34,2026-01-28,N/A
10,HPLC Associate – Team Lead,Eurofins,https://www.indeed.com/viewjob?jk=1407060bcd049659,"Cambridge, MA, US",MA,$34,2026-01-28,N/A
11,HPLC Chemist,Eurofins,https://www.indeed.com/viewjob?jk=c42999274c69fce2,"Andover, MA, US",MA,$26,2026-01-28,N/A
12,Bioreactor Process Development Scientist,Eurofins,https://www.indeed.com/viewjob?jk=7bc537400ca57959,"Boston, MA, US",MA,$38,2026-01-28,N/A
13,Post Doc AI-powered Omics Analytics,Johnson & Johnson,https://www.indeed.com/viewjob?jk=07b94135631fc098,"Spring House, PA, US",PA,"$79,000",2026-01-28,N/A
