#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,Associate Product Manager,Thermofisher,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Bedford-Massachusetts-USA/Associate-Product-Manager_R-01338834-1,"Bedford, Massachusetts, USA",MA,N/A,2026-01-22,N/A
2,"Senior Manager, Strategy – Analytical Instruments",Thermofisher,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Waltham-Massachusetts-USA/Senior-Manager--Strategy---Analytical-Instruments_R-01339735,"Waltham, Massachusetts, USA",MA,N/A,2026-01-22,N/A
3,PPI Business Systems Leader,Thermofisher,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Fair-Lawn-New-Jersey-USA/PPI-Business-Systems-Leader_R-01339706,"Fair Lawn, New Jersey, USA",NJ,N/A,2026-01-22,N/A
4,Engineering Manager,Thermofisher,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Fair-Lawn-New-Jersey-USA/Engineering-Manager_R-01339185,"Fair Lawn, New Jersey, USA",NJ,N/A,2026-01-22,N/A
5,"Chronic Care Specialty Sales Representative - Harrisburg, PA",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Pennsylvania---Harrisburg/Chronic-Care-Specialty-Sales-Representative---Harrisburg--PA_R366766,USA - Pennsylvania - Harrisburg,PA,N/A,2026-01-22,N/A
6,"Specialist , Manufacturing Automation",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Pennsylvania---West-Point/Specialist---Manufacturing-Automation_R380518-1,USA - Pennsylvania - West Point,PA,N/A,2026-01-22,N/A
7,"Director U.S. Marketing, Scientific & Thought Leader Strategy, Respiratory BU",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Pennsylvania---North-Wales-Upper-Gwynedd/Director-US-Marketing--Scientific---Thought-Leader-Strategy--Respiratory-BU_R382194-1,USA - Pennsylvania - North Wales (Upper Gwynedd),PA,N/A,2026-01-22,N/A
8,Functional Operational Excellence Leader,Sanofi,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Swiftwater-PA/Functional-Operational-Excellence-Leader_R2837089,"Swiftwater, PA",PA,N/A,2026-01-22,N/A
9,"Senior Scientist, Process Chemistry",Sanofi,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Cambridge-MA/Senior-Scientist--Process-Chemistry_R2816965,"Cambridge, MA",MA,N/A,2026-01-22,N/A
10,"Head of Order to Serve, North America",Sanofi,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Morristown-NJ/Head-of-Order-to-Serve--North-America_R2838633,"Morristown, NJ",NJ,N/A,2026-01-22,N/A
11,"Development Scientifc Director, I&I",Sanofi,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Morristown-NJ/Development-Scientifc-Director--I-I_R2840457,"Morristown, NJ",NJ,N/A,2026-01-22,N/A
12,"Associate Principal Scientist, Engineering- Biologics, Sterile Drug Product Commercialization",Merck,https://www.indeed.com/viewjob?jk=1d9c8764f48590de,"West Point, PA, US",PA,"$142,400",2026-01-22,2026-02-05
13,"Senior Scientist, Multispecific Antibody Engineering (Oncology)",AbbVie,https://www.indeed.com/viewjob?jk=c469c9a0ac4261ed,"Worcester, MA, US",MA,N/A,2026-01-22,N/A
14,"Senior Director, Strategic Therapeutic Area Lead, Autoantibody Pipeline, US Medical Affairs- Immunology",Johnson & Johnson,https://www.indeed.com/viewjob?jk=2e64224e5d841b9c,"Horsham, PA, US",PA,N/A,2026-01-22,N/A
15,Data Scientist,Johnson & Johnson,https://www.indeed.com/viewjob?jk=12ad612547ed0d28,"New Brunswick, NJ, US",NJ,"$89,000",2026-01-22,N/A
16,Health Care Case Manager (RN) for Mercer North (Lawrenceville),Rutgers University,https://www.indeed.com/viewjob?jk=b9437face6513bba,"Lawrenceville, NJ, US",NJ,N/A,2026-01-22,N/A
17,Strategic Insights Lead,Lucid Group,https://www.indeed.com/viewjob?jk=8e31feebe472c440,"Philadelphia, PA, US",PA,N/A,2026-01-22,N/A
18,Sr. Project Manager / Pharma,AtkinsRéalis,https://www.indeed.com/viewjob?jk=5cfdba0d57b7542c,"Exton, PA, US",PA,N/A,2026-01-22,N/A
19,Area Health information Specialist I,Datavant,https://www.indeed.com/viewjob?jk=5b95ec6e59b39d74,"Woodbury, NJ, US",NJ,N/A,2026-01-22,N/A
20,"Lead, Trial Delivery Manager - Oncology",Johnson & Johnson,https://www.indeed.com/viewjob?jk=94249a04b46bf837,"Spring House, PA, US",PA,"$105,000",2026-01-22,N/A
21,"Associate Account Executive - Philadelphia, PA - Johnson & Johnson MedTech, Surgery",Johnson & Johnson,https://www.indeed.com/viewjob?jk=4783ee0cc344e349,"Philadelphia, PA, US",PA,N/A,2026-01-22,N/A
22,Chemist - II (Associate),AGW,https://www.indeed.com/viewjob?jk=a07e9e39cd9b0976,"North Wales, PA, US",PA,$35,2026-01-22,N/A
23,Electrical Engineer,Genesis AEC,https://www.indeed.com/viewjob?jk=40e1890754e05c90,"Blue Bell, PA, US",PA,"$1,000",2026-01-22,N/A
24,"Senior Laboratory Operations Analyst - Automation Engineer, R&D Therapeutics Discovery",Johnson & Johnson,https://www.indeed.com/viewjob?jk=d1e715c10cfa5ac0,"Spring House, PA, US",PA,N/A,2026-01-22,N/A
25,Systems Engineer,Grantek Systems Integration,https://www.indeed.com/viewjob?jk=fa7b07273ebb5bdd,"Allentown, PA, US",PA,N/A,2026-01-22,N/A
26,Account Manager (Remote),m3usa,https://www.indeed.com/viewjob?jk=c4550fe1f9b21cfd,"Fort Washington, PA, US",PA,N/A,2026-01-22,N/A
27,"Director, Client Growth & Partnerships","Robert Michael Communications, Inc.",https://www.indeed.com/viewjob?jk=6ce92c03231d741d,"Philadelphia, PA, US",PA,N/A,2026-01-22,N/A
28,QA Coordinator,"Cold Chain Technologies, LLC.",https://www.indeed.com/viewjob?jk=eebfc2d650eb4ad4,"Bethlehem, PA, US",PA,$25,2026-01-22,N/A
29,Data Pipeline Analyst,AscellaHealth,https://www.indeed.com/viewjob?jk=a596b50414e920f7,"Berwyn, PA, US",PA,N/A,2026-01-22,N/A
30,Cell Therapy Manufacturing Specialist,Eurofins,https://www.indeed.com/viewjob?jk=ce3f7272946ec47e,"Exton, PA, US",PA,N/A,2026-01-22,N/A
31,Associate Director - Life Sciences Advisory - Medical Affairs/Real World Evidence (RWE),Guidehouse,https://www.indeed.com/viewjob?jk=24aa2468dbc045a6,"Philadelphia, PA, US",PA,"$135,000",2026-01-22,N/A
32,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=0f41536aab6661ea,"Philadelphia, PA, US",PA,"$94,400",2026-01-22,N/A
33,SAP EH&S Functional Expert,Avantor,https://www.indeed.com/viewjob?jk=479f71889b2fffd5,"Radnor, PA, US",PA,"$97,500",2026-01-22,N/A
34,Analytical Scientist,AGW,https://www.indeed.com/viewjob?jk=31d477f75bbee10a,"Cambridge, MA, US",MA,$53,2026-01-22,N/A
35,Commercial Analytics Director,Lantheus,https://www.indeed.com/viewjob?jk=babfd1a6050c86c6,"Bedford, MA, US",MA,"$182,000",2026-01-22,2026-02-16
36,Incentive Compensation Associate Director,Lantheus,https://www.indeed.com/viewjob?jk=036f61b5f331ce76,"Bedford, MA, US",MA,"$139,000",2026-01-22,2026-02-15
37,"Director, Major Accounts - Strategic Partners",Avantor,https://www.indeed.com/viewjob?jk=e457b3a06a403f14,"Cambridge, MA, US",MA,"$123,500",2026-01-22,N/A
38,"Research Scientist, High Throughput Human Biology (Contract)",Vertex Pharmaceuticals,https://www.indeed.com/viewjob?jk=1816714bdabad781,"Boston, MA, US",MA,$62,2026-01-22,N/A
39,"Senior Sales Manager - Global Payment Solutions, Innovation Banking",HSBC,https://www.indeed.com/viewjob?jk=50169bb653b69507,"Boston, MA, US",MA,N/A,2026-01-22,N/A
40,CATIA Sales Director - Growth Territories,Dassault Systèmes,https://www.indeed.com/viewjob?jk=f24078cb3e0a48fc,"Waltham, MA, US",MA,$300000,2026-01-22,N/A
