#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,"Associate Principal Scientist, Engineering- Biologics, Sterile Drug Product Commercialization",Merck,https://www.indeed.com/viewjob?jk=1d9c8764f48590de,"West Point, PA, US",PA,"$142,400",2026-01-28,2026-02-05
2,"(Senior) Medical Science Liaison - Mid Atlantic-North (DC, MD, DE, NJ, PA)",BioNTech,https://www.indeed.com/viewjob?jk=8be869abdc20f31e,"Philadelphia, PA, US",PA,"$146,300",2026-01-28,N/A
3,"Scientist I, Immunosafety",AbbVie,https://www.indeed.com/viewjob?jk=ec03dea6471e358b,"Worcester, MA, US",MA,N/A,2026-01-28,N/A
4,Scientist I,AbbVie,https://www.indeed.com/viewjob?jk=cf9e1a26cf2fb45e,"Worcester, MA, US",MA,N/A,2026-01-28,N/A
5,"Scientist II, Brain Transport Biology",AbbVie,https://www.indeed.com/viewjob?jk=792fa365cc2a99e4,"Cambridge, MA, US",MA,N/A,2026-01-28,N/A
6,"Associate Director, Safety Analysis Scientist",Johnson & Johnson,https://www.indeed.com/viewjob?jk=99da6a8f8f1b6c98,"Horsham, PA, US",PA,"$137,000",2026-01-28,2026-02-05
7,"Experienced Scientist, Sample Logistics & Inventory Management",Johnson & Johnson,https://www.indeed.com/viewjob?jk=002c7410cd3b1154,"Spring House, PA, US",PA,N/A,2026-01-28,N/A
8,"Senior Principal Scientist II, In Silico Biologics",Johnson & Johnson,https://www.indeed.com/viewjob?jk=8d30a3dac18cdbef,"Spring House, PA, US",PA,"$137,000",2026-01-28,N/A
9,Health Information Specialist I,Datavant,https://www.indeed.com/viewjob?jk=7f0bbbae06761d1b,"Toms River, NJ, US",NJ,N/A,2026-01-28,N/A
10,Cell Therapy Manufacturing Specialist,Eurofins,https://www.indeed.com/viewjob?jk=ce3f7272946ec47e,"Exton, PA, US",PA,N/A,2026-01-28,N/A
