#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,Scientist: Environmental Monitoring,Thermo Fisher Scientific,https://www.indeed.com/viewjob?jk=c2f81bf9d36f0898,"New Brunswick, NJ, US",NJ,$30,2026-01-30,N/A
2,Scientist I,AbbVie,https://www.indeed.com/viewjob?jk=cf9e1a26cf2fb45e,"Worcester, MA, US",MA,N/A,2026-01-30,N/A
3,"Scientist II, Brain Transport Biology",AbbVie,https://www.indeed.com/viewjob?jk=792fa365cc2a99e4,"Cambridge, MA, US",MA,N/A,2026-01-30,N/A
4,"Associate Director, AI Engineering",AbbVie,https://www.indeed.com/viewjob?jk=9d359b3dc36d449d,"Florham Park, NJ, US",NJ,N/A,2026-01-30,N/A
5,Scientist I - Biocompatibility,AbbVie,https://www.indeed.com/viewjob?jk=5034c3510ff0bcc5,"Branchburg, NJ, US",NJ,N/A,2026-01-30,N/A
6,"Experienced Scientist, Sample Logistics & Inventory Management",Johnson & Johnson,https://www.indeed.com/viewjob?jk=002c7410cd3b1154,"Spring House, PA, US",PA,N/A,2026-01-30,N/A
7,"Senior Principal Scientist II, In Silico Biologics",Johnson & Johnson,https://www.indeed.com/viewjob?jk=8d30a3dac18cdbef,"Spring House, PA, US",PA,"$137,000",2026-01-30,N/A
8,Organic Chemist Intern,Johnson & Johnson,https://www.indeed.com/viewjob?jk=d37fda0f1e9a34e2,"Spring House, PA, US",PA,N/A,2026-01-30,N/A
9,"Sr Director, Head of Data Science & Digital Health – Preclinical Sciences & Translational Safety (PSTS)",Johnson & Johnson,https://www.indeed.com/viewjob?jk=a3d66673be952035,"Spring House, PA, US",PA,"$196,000",2026-01-30,N/A
10,Health Information Specialist I,Datavant,https://www.indeed.com/viewjob?jk=7f0bbbae06761d1b,"Toms River, NJ, US",NJ,N/A,2026-01-30,N/A
11,"Associate Director, US/Global Forecasting - Hampton, NJ","Celldex Therapeutics, Inc.",https://www.indeed.com/viewjob?jk=559fac218092d0a2,"Hampton, NJ, US",NJ,"$153,616",2026-01-30,N/A
12,"Associate Director, Market Research and Competitive Intelligence - Hampton, NJ","Celldex Therapeutics, Inc.",https://www.indeed.com/viewjob?jk=b5b2a69e65f4f1e3,"Hampton, NJ, US",NJ,"$153,616",2026-01-30,N/A
13,Field Service Technician,"Hydro Service & Supplies, Inc.",https://www.indeed.com/viewjob?jk=ea676cd41c86c619,"Tullytown, PA, US",PA,$28,2026-01-30,N/A
14,"Histotechnician/Histotechnologist (FT, Evenings) - Center City",Thomas Jefferson University & Jefferson Health,https://www.indeed.com/viewjob?jk=a4e0b30e19214a8f,"Philadelphia, PA, US",PA,N/A,2026-01-30,N/A
15,Area Health information specialist II,Datavant,https://www.indeed.com/viewjob?jk=d1dde96cb67ef05e,"Camden, NJ, US",NJ,N/A,2026-01-30,N/A
16,"Learning Business Partner, Medical & Scientific Excellence (Horsham, PA or Titusville, NJ)",Johnson & Johnson,https://www.indeed.com/viewjob?jk=3ec33500e2d346a2,"Horsham, PA, US",PA,"$122,000",2026-01-30,N/A
17,Strategic Marketing Manager - Personal Care,Nouryon,https://www.indeed.com/viewjob?jk=34d4ecd5db8a49a9,"Radnor, PA, US",PA,N/A,2026-01-30,N/A
18,Building Automation Service - Senior Sales Executive,Siemens,https://www.indeed.com/viewjob?jk=f60ab7c880d37f20,"Harleysville, PA, US",PA,"$67,000",2026-01-30,N/A
19,"Director, R&D Data Science, Data Products - Global Regulatory Affairs",Johnson & Johnson,https://www.indeed.com/viewjob?jk=fbf008c8aad7e0f9,"Spring House, PA, US",PA,"$164,000",2026-01-30,N/A
20,Area Health Information Specialist II,Datavant,https://www.indeed.com/viewjob?jk=816dc75d40710c6c,"Voorhees, NJ, US",NJ,N/A,2026-01-30,N/A
21,Valve Technician,"Eastern Controls, Inc",https://www.indeed.com/viewjob?jk=4190fd5e9aaa6b7a,"Edgemont, PA, US",PA,N/A,2026-01-30,N/A
22,"Vice President of Sales, Direct-to-Pharma",m3usa,https://www.indeed.com/viewjob?jk=dd458bccddcc7ab2,"Fort Washington, PA, US",PA,$2,2026-01-30,N/A
