#,Title,Company,URL,Location,State,Salary
26,"Senior Scientist/Engineer, Medical Device and Combination Products, Analytical",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Pennsylvania---West-Point/Senior-Scientist-Engineer--Medical-Device-and-Combination-Products--Analytical_R380204-1,USA - Pennsylvania - West Point,PA,380204
27,"Director, Computational Chemistry, Modeling & Informatics",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---New-Jersey---Rahway/Director--Computational-Chemistry--Modeling---Informatics_R380246-1,USA - New Jersey - Rahway,NJ,380246
28,Group Lead Neurology Research,Sanofi,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Cambridge-MA/Group-Head-Neurology-Research_R2832334-1,"Cambridge, MA",MA,2832334
29,In Vivo Vaccine Research Scientist,Pfizer,https://pfizer.wd1.myworkdayjobs.com/PfizerCareers/job/United-States---New-York---Pearl-River/In-Vivo-Vaccine-Research-Scientist_4949609-2,United States - New York - Pearl River,NY,4949609
30,"Senior Scientist, Discovery BioSciences Oncology",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Cambridge-Crossing---MA---US/Senior-Scientist--Discovery-BioSciences-Oncology_R1598206,Cambridge Crossing - MA - US,MA,1598206
31,"Scientist I, Data Science",Sanofi,https://sanofi.wd3.myworkdayjobs.com/SanofiCareers/job/Cambridge-MA/Scientist-I--Data-Science_R2822005-1,"Cambridge, MA",MA,2822005
32,"Scientist, Investigation Team",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Summit-West---NJ---US/Scientist--Investigation-Team_R1597922,Summit West - NJ - US,NJ,1597922
33,Scientist III - Downstream Purification Development,Thermofisher,https://thermofisher.wd5.myworkdayjobs.com/ThermoFisherCareers/job/Bedford-Massachusetts-USA/Scientist-III---Downstream-Purification-Development_R-01336907,"Bedford, Massachusetts, USA",MA,01336907
34,Senior Data Scientist – Computer Vision & Biomedical Imaging,Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---Massachusetts---Cambridge-320-Bent-Street/Senior-Data-Scientist---Computer-Vision---Biomedical-Imaging_R361956-1,USA - Massachusetts - Cambridge (320 Bent Street),MA,361956
35,"Associate Director, Equipment Development and Facility Engineering Technology Engineer",Merck,https://msd.wd5.myworkdayjobs.com/SearchJobs/job/USA---New-Jersey---Rahway/Associate-Director--Equipment-Development-and-Facility-Engineering-Technology-Engineer_R379223,USA - New Jersey - Rahway,NJ,379223
