#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
1,"Associate Scientist, Assay Development",Pfizer,https://www.indeed.com/viewjob?jk=61d96dc90d513893,"Cambridge, MA, US",MA,"$60,200",2026-01-22,N/A
2,"Scientist, Analytical R&D",Merck,https://www.indeed.com/viewjob?jk=802f8afef42c38c8,"Rahway, NJ, US",NJ,"$87,300",2026-01-22,N/A
3,GMP Cleaning Associate II,Gsk,https://gsk.wd5.myworkdayjobs.com/GSKCareers/job/USA---Pennsylvania---King-of-Prussia/GMP-Cleaning-Associate-II_433921,USA - Pennsylvania - King of Prussia,PA,N/A,2026-01-21,N/A
4,"Scientist, Drug Product Development",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/New-Brunswick---NJ---US/Scientist--Drug-Product-Development_R1598446,New Brunswick - NJ - US,NJ,N/A,2026-01-21,N/A
5,Director- US ELIQUIS HCP Marketing,Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Princeton---NJ---US/Director--US-ELIQUIS-HCP-Marketing_R1598341-1,Princeton - NJ - US,NJ,N/A,2026-01-21,N/A
6,"Associate, Equipment Commissioning & Qualification (ECQ) Delivery",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Summit-West---NJ---US/Associate--Equipment-Commissioning---Qualification--ECQ--Delivery_R1596703,Summit West - NJ - US,NJ,N/A,2026-01-21,N/A
7,"Manager, Global Trade Operations, Cell Therapy in Devens, MA",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Devens---MA---US/Manager--Global-Trade-Operations--Cell-Therapy-in-Devens--MA_R1596583,Devens - MA - US,MA,N/A,2026-01-21,N/A
8,"Senior Scientist, Protein Analytics",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Cambridge-Crossing---MA---US/Senior-Scientist--Protein-Analytics_R1598433,Cambridge Crossing - MA - US,MA,N/A,2026-01-21,N/A
9,"Associate, QC Microbiology, Cell Therapy",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Devens---MA---US/Associate--QC-Microbiology--Cell-Therapy_R1598185,Devens - MA - US,MA,N/A,2026-01-21,N/A
10,"Senior Specialist, QC Analytical, Cell Therapy A2 Shift",Bms,https://bristolmyerssquibb.wd5.myworkdayjobs.com/BMS/job/Devens---MA---US/Senior-Specialist--QC-Analytical--Cell-Therapy_R1596474,Devens - MA - US,MA,N/A,2026-01-21,N/A
