#,Title,Company,URL,Location,State,Salary,Date Posted,Expiration Date
36,Sample Management Associate,Pharmaron,https://www.indeed.com/viewjob?jk=67b0eac88af277a1,"Woburn, MA, US",MA,$24,2026-01-26,N/A
37,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=11a19d1c069a9164,"Boston, MA, US",MA,"$94,400",2026-01-26,N/A
38,Quality Assurance Engineer,PA Consulting,https://www.indeed.com/viewjob?jk=d436bb304e36dba7,"Boston, MA, US",MA,"$80,000",2026-01-26,N/A
39,Downstream Development Engineer – Pilot Operations,Eurofins,https://www.indeed.com/viewjob?jk=371a5772ec55cd80,"Lexington, MA, US",MA,$30,2026-01-26,N/A
40,Pilot Plant Process Technician (No Degree Needed),Eurofins,https://www.indeed.com/viewjob?jk=8d92e9f5032b8440,"Andover, MA, US",MA,$24,2026-01-26,N/A
41,Quality Assurance Engineer,PA Consulting,https://www.indeed.com/viewjob?jk=eb503b51850cbcb9,"Boston, MA, US",MA,"$80,000",2026-01-26,N/A
42,Technical Sales Support (Microbiology),Element Materials Technology,https://www.indeed.com/viewjob?jk=f01271174bce1611,"Acton, MA, US",MA,N/A,2026-01-26,N/A
43,Replenishment Associate,Nova Biomedical,https://www.indeed.com/viewjob?jk=929930bb7eced7e7,"Billerica, MA, US",MA,$23,2026-01-26,N/A
44,Business Development Director I - Central Laboratory (New England),Labcorp,https://www.indeed.com/viewjob?jk=664a79573eb1c3ff,"Boston, MA, US",MA,"$85,000",2026-01-26,2026-01-30
45,Lab Equipment Move Management Specialist II,Genesis AEC,https://www.indeed.com/viewjob?jk=5920a6660d1487d7,"Medford, MA, US",MA,"$1,000",2026-01-26,N/A
46,"Senior Network Architect, Infrastructure & Operations",Lantheus,https://www.indeed.com/viewjob?jk=db3734d2bcfdc501,"Bedford, MA, US",MA,"$139,000",2026-01-26,N/A
47,Quality Control Lab Chemist,Nova Biomedical,https://www.indeed.com/viewjob?jk=27b0bf58e5315ab5,"Norwood, MA, US",MA,$75k,2026-01-26,N/A
48,OFFICE MANAGER,ESFM,https://www.indeed.com/viewjob?jk=b60278b52dba229e,"New York, NY, US",NY,"$80,000",2026-01-26,N/A
49,Staff Software Engineer,Datavant,https://www.indeed.com/viewjob?jk=aff9701a14a5984c,"New York, NY, US",NY,N/A,2026-01-26,N/A
50,Senior Software Engineer,Datavant,https://www.indeed.com/viewjob?jk=4efb51fa598fd439,"New York, NY, US",NY,N/A,2026-01-26,N/A
51,Senior Clinical Project Manager (Remote),Everest Clinical Research,https://www.indeed.com/viewjob?jk=d0bd745d6c7782b0,"Bridgewater, NJ, US",NJ,N/A,2026-01-26,N/A
52,Clinical Trial Associate,Menarini,https://www.indeed.com/viewjob?jk=b2c2d2b7160faf53,"New York, NY, US",NY,"$115,000",2026-01-26,N/A
53,Health Information Specialist I,Datavant,https://www.indeed.com/viewjob?jk=b63162a04d740a20,"Jersey City, NJ, US",NJ,N/A,2026-01-26,N/A
54,"Director of Product Management, Medical Affairs",Salesforce,https://www.indeed.com/viewjob?jk=20fa193e79c75c96,"New York, NY, US",NY,"$216,300",2026-01-26,N/A
55,"Senior Manager, Portfolio - Product Lifecycle Management",Phenomenex & Agela,https://www.indeed.com/viewjob?jk=f5e1b970323985ce,"New York, NY, US",NY,"$125,000",2026-01-26,N/A
56,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=673587423791e173,"New York, NY, US",NY,"$94,400",2026-01-26,N/A
57,Life Sciences: Scientific and Laboratory Informatics Manager - Manager/Sr. Manager,Accenture,https://www.indeed.com/viewjob?jk=7c995e7774590a9e,"Morristown, NJ, US",NJ,"$94,400",2026-01-26,N/A
58,"Senior Consultant - Life Sciences Advisory, Health Segment - Campus 2026",Guidehouse,https://www.indeed.com/viewjob?jk=502270f54910d968,"New York, NY, US",NY,"$98,000",2026-01-26,N/A
59,2026 Summer Intern - Computational Sciences Center of Excellence AI for Drug Discovery,Genentech,https://www.indeed.com/viewjob?jk=b252e4d1e48d573c,"New York, NY, US",NY,$45,2026-01-26,N/A
60,Aseptic CAR-T Manufacturing Operator,Johnson & Johnson,https://www.indeed.com/viewjob?jk=fd4f343be17260f5,"Raritan, NJ, US",NJ,"$49,000",2026-01-26,N/A
61,2026 Summer Intern - Computational Sciences Center of Excellence AI for Drug Discovery,Genentech,https://www.indeed.com/viewjob?jk=f1e39e8e2314b05d,"New York, NY, US",NY,$45,2026-01-26,N/A
62,"Corporate Vice President, Strategy",Wiley,https://www.indeed.com/viewjob?jk=d232303fffcc0226,"Hoboken, NJ, US",NJ,N/A,2026-01-26,N/A
63,"Associate Account Executive - New York, NY - Johnson & Johnson MedTech, Surgery",Johnson & Johnson,https://www.indeed.com/viewjob?jk=97d55c7d5c0c63ba,"New York, NY, US",NY,"$55,000",2026-01-26,N/A
64,Medical Affairs Consultant,サイネオス・ヘルス,https://www.indeed.com/viewjob?jk=a49a2eab0b9ad721,"Bridgewater, NJ, US",NJ,N/A,2026-01-26,N/A
65,Field Applications Specialist - Core Histology,Leica Biosystems,https://www.indeed.com/viewjob?jk=c6e05f96c3142c62,"New York, NY, US",NY,"$85,000",2026-01-26,N/A
66,Senior Manager of Client Engagement & Project Management,Pharmaron,https://www.indeed.com/viewjob?jk=ac9be891665adad9,"Township of Franklin, NJ, US",NJ,$130k,2026-01-26,N/A
67,"Associate Manager, Sales",Salesforce,https://www.indeed.com/viewjob?jk=a9d97273f991cee7,"New York, NY, US",NY,"$114,660",2026-01-26,N/A
68,Senior Local Trial Manager,Johnson & Johnson,https://www.indeed.com/viewjob?jk=d649f2a2d5e9ecf2,"Raritan, NJ, US",NJ,"$92,000",2026-01-26,2026-01-30
69,"Manager, Master Data Management & Integration - USA Remote",Danaher Diagnostics,https://www.indeed.com/viewjob?jk=59a0a2e1ebf1d9d9,"New York, NY, US",NY,"$140,000",2026-01-26,N/A
70,"Manager, Benefits Strategy & Global Projects - REMOTE",Danaher,https://www.indeed.com/viewjob?jk=7f82482ebd10878c,"New York, NY, US",NY,"$140,000",2026-01-26,N/A
71,Sr. Analyst- Government Technical Writing,SIA,https://www.indeed.com/viewjob?jk=5d3b89b603bf866b,"New York, NY, US",NY,"$77,000",2026-01-26,N/A
72,"UNIT MGR, BUSINESS SVCS I",ESFM,https://www.indeed.com/viewjob?jk=930b47f10d186da6,"Clark, NJ, US",NJ,"$85,000",2026-01-26,N/A
73,Health Information Specialist I,Datavant,https://www.indeed.com/viewjob?jk=7229bf8a416f8b5e,"New Providence, NJ, US",NJ,N/A,2026-01-26,N/A
74,Senior Delivery Consultant- Performance Partnership,Danaher Diagnostics,https://www.indeed.com/viewjob?jk=32c6dc5516b5d204,"New York, NY, US",NY,"$150,000",2026-01-26,N/A
75,Plant Manager,"AGL Welding Supply Co., Inc.",https://www.indeed.com/viewjob?jk=4e2859bbc3b93c64,"Clifton, NJ, US",NJ,"$80,000",2026-01-26,N/A
76,"Lead, Area Health Information Specialist",Datavant,https://www.indeed.com/viewjob?jk=fb1ddc5d3d4bd99c,"Englewood, NJ, US",NJ,N/A,2026-01-26,N/A
77,"Chief IP Counsel, Leica Biosystems",Leica Biosystems,https://www.indeed.com/viewjob?jk=64c71331be2b5e67,"New York, NY, US",NY,"$220,000",2026-01-26,N/A
78,"Associate Director, R&D Data Science & Digital Health – Hematology/Oncology",Johnson & Johnson,https://www.indeed.com/viewjob?jk=17c1994516d387e2,"Spring House, PA, US",PA,"$137,000",2026-01-26,N/A
79,HPLC Analyst,Eurofins,https://www.indeed.com/viewjob?jk=63e2625237e0c46f,"Cambridge, MA, US",MA,$34,2026-01-26,N/A
80,HPLC Associate – Team Lead,Eurofins,https://www.indeed.com/viewjob?jk=1407060bcd049659,"Cambridge, MA, US",MA,$34,2026-01-26,N/A
81,HPLC Chemist,Eurofins,https://www.indeed.com/viewjob?jk=c42999274c69fce2,"Andover, MA, US",MA,$26,2026-01-26,N/A
82,Bioreactor Process Development Scientist,Eurofins,https://www.indeed.com/viewjob?jk=7bc537400ca57959,"Boston, MA, US",MA,$38,2026-01-26,N/A
83,Oncology G.A.P Scholar,Johnson & Johnson,https://www.indeed.com/viewjob?jk=0a33e02120b9ff48,"Spring House, PA, US",PA,N/A,2026-01-26,N/A
84,"Principal Scientist, Cell Therapy Process Development",Johnson & Johnson,https://www.indeed.com/viewjob?jk=d65d78f30d25f698,"Spring House, PA, US",PA,N/A,2026-01-26,N/A
85,Post Doc AI-powered Omics Analytics,Johnson & Johnson,https://www.indeed.com/viewjob?jk=07b94135631fc098,"Spring House, PA, US",PA,"$79,000",2026-01-26,N/A
86,Associate Director,AstraZeneca,https://www.indeed.com/viewjob?jk=0a7163f1a4977dac,"Waltham, MA, US",MA,"$134,892",2026-01-26,N/A
87,Applications Scientist,Schrödinger,https://www.indeed.com/viewjob?jk=f60814b838999dfa,"Cambridge, MA, US",MA,"$120,000",2026-01-26,N/A
88,"Distinguished Scientist/Director, Cell Therapy",Johnson & Johnson,https://www.indeed.com/viewjob?jk=ca92917d6fdc671e,"Cambridge, MA, US",MA,"$164,000",2026-01-26,N/A
89,"National Director, Life Sciences",Leica Biosystems,https://www.indeed.com/viewjob?jk=4d7f38c20d56054f,"New York, NY, US",NY,"$200,000",2026-01-26,N/A
90,"Senior Manager, Trial Master File",BioNTech,https://www.indeed.com/viewjob?jk=4eeaf202d2ffa252,"Cambridge, MA, US",MA,"$130,800",2026-01-26,N/A
91,Associate Biomedical Engineer,United Therapeutics,https://www.indeed.com/viewjob?jk=80aff025559beb6f,"Medford, MA, US",MA,"$64,000",2026-01-26,N/A
92,"Scientist, Renal Cell Biology & Physiology (iPSC Differentiation/Reprogramming)",United Therapeutics,https://www.indeed.com/viewjob?jk=cfe6eb5b73f00feb,"Medford, MA, US",MA,"$111,000",2026-01-26,N/A
93,"Scientist, Renal Cell Biology & Physiology (Epithelial and Endothelial Cell Biologist)",United Therapeutics,https://www.indeed.com/viewjob?jk=d3fa09a265f68f13,"Medford, MA, US",MA,"$111,000",2026-01-26,N/A
94,"Executive Director, Omnichannel Marketing",BioNTech,https://www.indeed.com/viewjob?jk=f47ca7025e8b9c3c,"Berkeley Heights, NJ, US",NJ,"$221,700",2026-01-26,N/A
95,"Executive Director, Marketing Disease Lead",BioNTech,https://www.indeed.com/viewjob?jk=f95f35a2d52724d1,"Berkeley Heights, NJ, US",NJ,"$221,700",2026-01-26,N/A
96,Program Coordinator 1,Rutgers University,https://www.indeed.com/viewjob?jk=00aef62f0fed0346,"New Brunswick, NJ, US",NJ,N/A,2026-01-26,N/A
97,"Senior Director, Learning Instructional Design and Course Creation",Pfizer,https://www.indeed.com/viewjob?jk=c61ed014779b2662,"New York, NY, US",NY,"$214,900",2026-01-26,N/A
98,"VP, Product Marketing",Ataccama,https://www.indeed.com/viewjob?jk=dc4d458d7bae1ea1,"Boston, MA, US",MA,"$280,000–$350,000",2026-01-25,N/A
99,SAP Solution Architect Manager,Accenture,https://www.indeed.com/viewjob?jk=210df17a89f5f725,"New York, NY, US",NY,"$94,400",2026-01-24,N/A
100,SAP Solution Architect Manager,Accenture,https://www.indeed.com/viewjob?jk=7acf32a5d1f1ad35,"Morristown, NJ, US",NJ,"$94,400",2026-01-24,N/A
101,SAP Solution Architect Manager,Accenture,https://www.indeed.com/viewjob?jk=302334408205d083,"Boston, MA, US",MA,"$94,400",2026-01-24,N/A
102,SAP Solution Architect Manager,Accenture,https://www.indeed.com/viewjob?jk=7f664fc0aa0b7f96,"Philadelphia, PA, US",PA,"$94,400",2026-01-24,N/A
